"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","-0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.532","0","-0.0002","1.7053","1.7246","-0.0150"
"5.400","1","0.241","0","-0.0002","1.7053","1.7114","-0.0150"
"6.400","1","0.110","0","-0.0002","1.7053","1.7053","-0.0002"
"7.400","1","0.080","0","-0.0002","1.7053","1.7052","0.0025"
"8.400","1","0.427","0","-0.0063","1.7053","1.6884","0.0150"
"9.500","1","0.459","1","-0.0297","1.7053","1.6962","0.0400"
"10.600","1","0.015","0","-0.0481","1.7053","1.7475","-0.0150"
"11.700","1","0.010","0","-0.0240","1.7053","1.7402","-0.0150"
"12.800","1","0.053","1","-0.0075","1.7053","1.7246","0.0400"
"13.900","1","0.042","0","-0.0146","1.7053","1.7196","-0.0150"
"15.000","1","0.123","0","0.0097","1.7045","1.7022","0.0150"
"16.100","1","0.080","0","0.0336","1.7025","1.7162","-0.0150"
"17.200","1","0.234","0","0.0580","1.7004","1.7154","-0.0150"
"18.300","1","0.222","0","0.0822","1.6984","1.6984","0.0003"
"19.400","1","0.130","0","0.1068","1.6964","1.7042","-0.0150"
"20.500","1","0.245","0","0.1304","1.6944","1.6928","0.0150"
"21.600","1","0.312","0","0.1545","1.6924","1.6903","0.0150"
"22.700","1","0.255","0","0.1796","1.6903","1.6952","-0.0150"
"23.800","1","0.671","0","0.2004","1.6886","1.6745","0.0150"
"24.900","1","0.266","0","0.2229","1.6867","1.6867","-0.0000"
"26.000","1","0.195","0","0.2471","1.6847","1.6952","-0.0150"
"27.100","1","0.064","1","0.2385","1.6854","1.7310","0.0400"
"28.200","1","0.013","0","0.2543","1.6841","1.7452","-0.0150"
"29.300","1","0.011","0","0.2267","1.6864","1.7658","-0.0150"
"30.400","1","0.019","1","0.2169","1.6872","1.7979","0.0400"
"31.500","1","0.011","1","0.2091","1.6878","1.8109","0.0400"
"32.600","1","0.009","0","0.2196","1.6870","1.7881","-0.0150"
"33.700","1","0.017","0","0.1771","1.6905","1.8032","-0.0150"
"34.800","1","0.043","0","0.1974","1.6888","1.7324","-0.0150"
"35.900","1","0.021","0","0.2226","1.6867","1.7384","-0.0150"
"37.000","1","0.039","1","0.2028","1.6884","1.7307","0.0400"
"38.100","1","0.022","0","0.2152","1.6873","1.7209","-0.0150"
"39.200","1","0.020","0","0.2007","1.6885","1.7298","-0.0150"
"40.300","1","0.059","0","0.2240","1.6866","1.7196","-0.0150"
"41.400","1","0.045","0","0.2487","1.6845","1.7225","-0.0150"
"42.500","1","0.413","0","0.2713","1.6827","1.6825","0.0115"
"43.600","1","0.298","1","0.2641","1.6833","1.6814","0.0400"
"44.699","1","0.031","0","0.2761","1.6823","1.7271","-0.0150"
"45.799","1","0.076","0","0.3002","1.6802","1.7241","-0.0150"
"46.899","1","0.044","0","0.3253","1.6782","1.7357","-0.0150"
"47.999","1","0.125","1","0.3251","1.6782","1.7078","0.0400"
"49.099","1","0.048","0","0.2710","1.6827","1.7175","-0.0150"
"50.199","1","0.095","0","0.2905","1.6811","1.7003","-0.0150"
"51.299","1","0.422","0","0.2904","1.6811","1.6695","0.0150"
"52.399","1","0.104","0","0.2905","1.6811","1.6926","-0.0150"
"53.499","1","0.195","0","0.2900","1.6811","1.6809","0.0134"
"54.599","1","0.239","0","0.2889","1.6812","1.6800","0.0150"
"55.699","1","0.243","0","0.2890","1.6812","1.6877","-0.0150"
"56.799","1","0.270","0","0.2883","1.6812","1.6805","0.0150"
"57.899","1","0.136","0","0.2892","1.6812","1.6917","-0.0150"
"58.999","1","0.270","0","0.2888","1.6812","1.6973","-0.0150"
"60.099","1","0.231","0","0.2900","1.6811","1.6811","0.0010"
