"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.544","0","-0.0002","1.7053","1.7246","-0.0150"
"5.400","1","0.237","0","-0.0002","1.7053","1.7114","-0.0150"
"6.400","1","0.122","0","-0.0002","1.7053","1.7054","-0.0070"
"7.400","1","0.166","0","-0.0002","1.7053","1.7051","0.0094"
"8.400","1","0.283","0","-0.0173","1.7053","1.7090","-0.0150"
"9.500","1","0.725","0","-0.0103","1.7053","1.6790","0.0150"
"10.600","1","0.128","0","-0.0186","1.7053","1.7157","-0.0150"
"11.700","1","0.265","0","-0.0108","1.7053","1.7043","0.0150"
"12.800","1","0.476","0","0.0068","1.7047","1.7110","-0.0150"
"13.900","1","0.125","0","0.0245","1.7032","1.7366","-0.0150"
"15.000","1","0.016","0","0.0082","1.7046","1.7764","-0.0150"
"16.100","1","0.014","0","0.0317","1.7026","1.7610","-0.0150"
"17.200","1","0.038","0","0.0560","1.7006","1.7447","-0.0150"
"18.300","1","0.128","0","0.0803","1.6986","1.7373","-0.0150"
"19.400","1","0.068","0","0.1047","1.6965","1.7454","-0.0150"
"20.500","1","0.046","0","0.0876","1.6980","1.7325","-0.0150"
"21.600","1","0.047","1","0.0805","1.6986","1.7415","0.0400"
"22.700","1","0.122","0","0.0990","1.6970","1.7232","-0.0150"
"23.800","1","0.100","1","0.1156","1.6956","1.7116","0.0400"
"24.900","1","0.143","0","0.1096","1.6961","1.7191","-0.0150"
"26.000","1","0.116","0","0.1340","1.6941","1.7106","-0.0150"
"27.100","1","0.033","0","0.1217","1.6951","1.7356","-0.0150"
"28.200","1","0.334","0","0.1428","1.6934","1.6888","0.0150"
"29.300","1","0.139","0","0.1651","1.6915","1.7133","-0.0150"
"30.400","1","0.097","0","0.1493","1.6928","1.7238","-0.0150"
"31.500","1","0.096","0","0.1727","1.6909","1.7183","-0.0150"
"32.600","1","0.056","0","0.1981","1.6888","1.7465","-0.0150"
"33.700","1","0.018","0","0.1821","1.6901","1.7406","-0.0150"
"34.800","1","0.227","0","0.2054","1.6881","1.7091","-0.0150"
"35.900","1","0.111","0","0.2297","1.6861","1.7106","-0.0150"
"37.000","1","0.158","1","0.2213","1.6868","1.7196","0.0400"
"38.100","1","0.200","0","0.1358","1.6939","1.7306","-0.0150"
"39.200","1","0.029","0","0.1159","1.6956","1.7558","-0.0150"
"40.300","1","0.081","0","0.1366","1.6939","1.7302","-0.0150"
"41.400","1","0.170","0","0.1604","1.6919","1.7094","-0.0150"
"42.500","1","0.211","1","0.1715","1.6910","1.6911","0.0400"
"43.600","1","0.544","0","0.1570","1.6922","1.6828","0.0150"
"44.699","1","0.253","0","0.1561","1.6923","1.6968","-0.0150"
"45.799","1","0.454","0","0.1773","1.6905","1.6808","0.0150"
"46.899","1","0.293","0","0.1895","1.6895","1.6999","-0.0150"
"47.999","1","0.429","0","0.2047","1.6882","1.7055","-0.0150"
"49.099","1","0.045","0","0.2271","1.6863","1.7321","-0.0150"
"50.199","1","0.026","0","0.2184","1.6871","1.7290","-0.0150"
"51.299","1","0.094","0","0.2186","1.6870","1.7111","-0.0150"
"52.399","1","0.052","0","0.2179","1.6871","1.7204","-0.0150"
"53.499","1","0.027","0","0.2190","1.6870","1.7360","-0.0150"
"54.599","1","0.118","0","0.2189","1.6870","1.7487","-0.0150"
"55.699","1","0.106","0","0.2166","1.6872","1.7097","-0.0150"
"56.799","1","0.039","0","0.2167","1.6872","1.7131","-0.0150"
"57.899","1","0.258","1","0.2145","1.6874","1.6967","0.0400"
"58.999","1","0.164","0","0.2144","1.6874","1.7155","-0.0150"
"60.099","1","0.037","0","0.2175","1.6871","1.7328","-0.0150"
