"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.471","0","-0.0003","1.7053","1.7251","-0.0150"
"5.400","1","0.278","0","-0.0004","1.7053","1.7118","-0.0150"
"6.400","1","0.177","0","-0.0004","1.7053","1.7049","0.0150"
"7.400","1","0.086","0","-0.0004","1.7053","1.7051","0.0074"
"8.400","1","0.386","0","-0.0055","1.7053","1.6877","0.0150"
"9.500","1","0.540","1","-0.0082","1.7053","1.6853","0.0400"
"10.600","1","0.668","1","-0.0114","1.7053","1.7061","0.0400"
"11.700","1","0.061","0","-0.0177","1.7053","1.7534","-0.0150"
"12.800","1","0.041","1","-0.0175","1.7053","1.7722","0.0400"
"13.900","1","0.014","0","-0.0120","1.7053","1.7821","-0.0150"
"15.000","1","0.024","0","0.0120","1.7043","1.7630","-0.0150"
"16.100","1","0.015","0","0.0363","1.7022","1.7505","-0.0150"
"17.200","1","0.073","0","0.0606","1.7002","1.7350","-0.0150"
"18.300","1","0.142","0","0.0848","1.6982","1.7167","-0.0150"
"19.400","1","0.091","0","0.0679","1.6996","1.7374","-0.0150"
"20.500","1","0.124","1","0.0842","1.6983","1.7213","0.0400"
"21.600","1","0.024","0","0.0788","1.6987","1.7319","-0.0150"
"22.700","1","0.284","0","0.1026","1.6967","1.7060","-0.0150"
"23.800","1","0.242","0","0.1261","1.6948","1.7009","-0.0150"
"24.900","1","0.069","0","0.0802","1.6986","1.7392","-0.0150"
"26.000","1","0.163","0","0.1034","1.6967","1.7207","-0.0150"
"27.100","1","0.139","0","0.1279","1.6946","1.7121","-0.0150"
"28.200","1","0.413","0","0.1442","1.6932","1.7000","-0.0150"
"29.300","1","0.475","0","0.1686","1.6912","1.6914","-0.0120"
"30.400","1","0.332","0","0.1931","1.6892","1.6954","-0.0150"
"31.500","1","0.426","0","0.2171","1.6872","1.6869","0.0150"
"32.600","1","0.173","0","0.1385","1.6937","1.7134","-0.0150"
"33.700","1","0.273","0","0.1594","1.6920","1.7000","-0.0150"
"34.800","1","0.415","0","0.1808","1.6902","1.6879","0.0150"
"35.900","1","0.266","0","0.2028","1.6884","1.6954","-0.0150"
"37.000","1","0.556","0","0.2224","1.6867","1.6921","-0.0150"
"38.100","1","0.460","0","0.2461","1.6848","1.6905","-0.0150"
"39.200","1","0.378","0","0.2637","1.6833","1.6942","-0.0150"
"40.300","1","0.472","0","0.2830","1.6817","1.6806","0.0150"
"41.400","1","0.497","0","0.3072","1.6797","1.6813","-0.0150"
"42.500","1","0.224","1","0.3203","1.6786","1.6871","0.0400"
"43.600","1","0.061","0","0.2767","1.6822","1.7113","-0.0150"
"44.699","1","0.185","0","0.2999","1.6803","1.6966","-0.0150"
"45.799","1","0.630","0","0.3235","1.6783","1.6773","0.0150"
"46.899","1","0.344","0","0.3475","1.6763","1.6853","-0.0150"
"47.999","1","0.395","0","0.3607","1.6752","1.6752","-0.0009"
"49.099","1","0.566","0","0.3696","1.6745","1.6840","-0.0150"
"50.199","1","0.278","0","0.3613","1.6752","1.6939","-0.0150"
"51.299","1","0.464","0","0.3615","1.6751","1.6746","0.0150"
"52.399","1","0.345","0","0.3614","1.6752","1.6538","0.0150"
"53.499","1","0.390","0","0.3586","1.6754","1.6624","0.0150"
"54.599","1","0.310","0","0.3587","1.6754","1.6733","0.0150"
"55.699","1","0.286","0","0.3580","1.6754","1.6853","-0.0150"
"56.799","1","0.144","0","0.3579","1.6754","1.6863","-0.0150"
"57.899","1","0.334","0","0.3579","1.6754","1.6719","0.0150"
"58.999","1","0.312","0","0.3575","1.6755","1.6762","-0.0150"
"60.099","1","0.238","0","0.3565","1.6756","1.6758","-0.0150"
