"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000","-1"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000","-1"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"3.40","78.72","0.300","0.00","64.38","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"4.40","75.97","0.300","0.00","62.72","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"5.40","78.11","0.300","0.00","34.72","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.170","8"
"6.40","76.79","0.300","0.00","97.21","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.032","8"
"7.40","77.96","0.284","14.26","42.19","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000","-1"
"8.40","77.18","0.284","14.50","41.50","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"9.50","76.10","0.276","27.40","99.86","60000.000894","0.000000000","6158.800092","0.000000","0","0","0.000000","0.000","-1"
"10.60","77.19","0.287","6.41","87.68","60000.000894","0.000000000","6243.000093","2.800000","0","0","0.000000","1.159","14"
"11.70","79.71","0.266","28.59","5.48","60000.000894","0.000000000","6543.200098","3.200000","0","0","0.000000","0.216","36"
"12.80","79.78","0.285","7.28","1.96","60000.000894","0.000000000","7028.000105","3.200000","0","0","0.000000","0.061","49"
"13.90","79.88","0.264","32.67","4.35","60000.000894","0.000000000","7143.600106","3.800000","0","0","0.000000","0.000","-1"
"15.00","79.91","0.294","4.10","2.28","60000.000894","0.000000000","7449.200111","4.400000","0","0","0.000000","0.000","-1"
"16.10","79.91","0.286","19.26","0.24","60000.000894","0.000000000","7807.400116","5.800000","0","0","0.000000","0.000","-1"
"17.20","79.67","0.295","5.39","2.41","60000.000894","0.000000000","8143.200121","5.800000","0","0","0.000000","0.000","-1"
"18.30","78.85","0.284","24.25","15.56","60000.000894","0.000000000","8470.400126","5.800000","0","0","0.000000","0.000","-1"
"19.40","79.87","0.292","12.15","2.49","60000.000894","0.000000000","8214.400122","5.800000","0","0","0.000000","0.000","-1"
"20.50","79.01","0.298","0.74","10.87","60000.000894","0.000000000","8504.600127","5.800000","0","0","0.000000","0.000","-1"
"21.60","79.70","0.297","2.51","4.48","60000.000894","0.000000000","8163.600122","5.800000","0","0","0.000000","0.000","-1"
"22.70","77.41","0.294","3.51","79.13","60000.000894","0.000000000","8601.000128","5.800000","0","0","0.000000","0.614","20"
"23.80","78.22","0.273","22.59","4.01","60000.000894","0.000000000","9314.400139","5.800000","0","0","0.000000","1.391","20"
"24.90","79.31","0.290","4.84","20.69","60000.000894","0.000000000","8576.200128","5.800000","0","0","0.000000","0.000","-1"
"26.00","79.37","0.293","5.23","8.71","60000.000894","0.000000000","8671.800129","5.800000","0","0","0.000000","0.000","-1"
"27.10","78.90","0.288","9.10","14.20","60000.000894","0.000000000","8975.400134","5.800000","0","0","0.000000","0.000","-1"
"28.20","78.09","0.250","46.69","38.70","60000.000894","0.000000000","9368.000140","5.800000","0","0","0.000000","0.000","-1"
