"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","0.0000","1.5713","29.50","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.003","0.0074","0.0001","0.0000","0.0000","1.5799","26.75","0"
"BucketWheel","3.40","-14.00","-269.892","0.006","31.695","0.0020","0.0032","0.0000","0.0000","1.5768","24.00","0"
"BucketWheel","4.40","-14.00","-461.515","0.070","-353.682","0.0107","0.0058","0.0040","-0.0040","1.5757","21.50","0"
"BucketWheel","5.40","-14.00","-93.868","0.553","-114.587","0.0363","0.0041","0.0040","-0.0040","1.5788","19.00","0"
"BucketWheel","6.40","-14.00","-109.876","-3.115","-75.927","0.0107","0.0092","0.0092","-0.0092","1.5808","16.50","0"
"BucketWheel","7.40","-14.00","-313.249","-15.016","-332.010","0.0121","0.0111","0.0110","-0.0110","1.5788","16.00","0"
"BucketWheel","8.40","-14.00","92.047","-8.690","-340.902","0.0141","0.0128","0.0110","-0.0110","1.5865","16.00","0"
"BucketWheel","9.50","-14.00","307.731","-19.742","-577.696","0.1052","0.0705","0.0674","0.0409","1.6006","16.00","0"
"BucketWheel","10.60","-14.00","-311.206","-52.029","-254.368","0.0268","0.0947","0.0947","0.0704","1.5825","16.00","0"
"BucketWheel","11.70","-14.00","-497.252","-146.958","-201.850","0.0158","0.1023","0.1022","0.0801","1.5835","16.00","0"
"BucketWheel","12.80","-14.00","-190.876","-82.523","-184.953","0.0085","0.1207","0.1204","0.1023","1.5886","16.00","0"
"BucketWheel","13.90","-14.00","-115.647","-87.075","-2.896","0.0223","0.1353","0.1353","0.1199","1.5812","16.00","0"
"BucketWheel","15.00","-14.00","-90.814","-25.254","-34.536","0.0234","0.1557","0.1556","0.1424","1.5858","16.00","0"
"BucketWheel","16.10","-14.00","-5.909","7.152","-23.495","0.0883","0.1582","0.1573","0.1377","1.5971","16.00","0"
"BucketWheel","17.20","-14.00","-6.700","-1.418","-7.583","0.0257","0.1685","0.1682","0.1461","1.5905","16.00","0"
"BucketWheel","18.30","-14.00","-1.788","-0.375","-0.798","0.0226","0.1703","0.1699","0.1450","1.5924","16.00","0"
"BucketWheel","19.40","-14.00","-12.449","2.360","10.430","0.2119","0.1224","0.1221","0.0098","1.5880","16.00","0"
"BucketWheel","20.50","-14.00","-49.445","-2.918","-7.538","0.0251","0.1295","0.1293","0.0022","1.5876","16.00","0"
"BucketWheel","21.60","-14.00","-144.762","0.264","-64.605","0.0205","0.1582","0.1581","-0.0275","1.5739","16.00","0"
"BucketWheel","22.70","-14.00","-273.757","-43.905","-77.847","0.0227","0.1576","0.1574","-0.0036","1.5718","16.00","0"
"BucketWheel","23.80","-14.00","-131.214","-33.781","-194.905","0.0085","0.1589","0.1589","0.0145","1.5801","16.00","0"
"BucketWheel","24.90","-14.00","-186.394","-50.841","-31.073","0.0213","0.1598","0.1597","0.0228","1.5767","16.00","0"
"BucketWheel","26.00","-14.00","-331.394","-55.100","-6.195","0.0099","0.1603","0.1603","0.0253","1.5771","16.00","0"
"BucketWheel","27.10","-14.00","-147.990","-27.708","-139.967","0.0030","0.1603","0.1603","0.0253","1.5789","16.00","0"
"BucketWheel","28.20","-14.00","-64.093","-26.947","-65.165","0.0204","0.1623","0.1603","0.0253","1.6057","16.00","0"
"BucketWheel","29.30","-14.00","-340.609","-56.256","-98.165","0.0157","0.1621","0.1602","0.0249","1.6051","16.00","0"
"BucketWheel","30.40","-14.00","-298.240","-18.563","-344.932","0.0676","0.1622","0.1572","0.0017","1.6201","16.00","0"
"BucketWheel","31.50","-14.00","-647.323","-198.158","-787.986","0.0655","0.1588","0.1564","-0.0207","1.6072","16.00","0"
"BucketWheel","32.60","-14.00","-290.096","143.250","-145.899","0.0562","0.1755","0.1754","-0.0645","1.5848","16.00","0"
"BucketWheel","33.70","-14.00","-469.280","119.844","11.709","0.0258","0.2125","0.2124","-0.1146","1.5756","16.00","0"
"BucketWheel","34.80","-14.00","-433.006","70.963","-362.552","0.0450","0.2594","0.2591","-0.1770","1.5663","16.00","0"
"BucketWheel","35.90","-14.00","-192.273","18.959","10.426","0.0056","0.2595","0.2591","-0.1770","1.5649","16.00","0"
"BucketWheel","37.00","-14.00","-430.026","40.773","-77.293","0.0018","0.2591","0.2591","-0.1770","1.5816","16.00","0"
