"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000","-1"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000","-1"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"3.40","78.72","0.300","0.00","64.38","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"4.40","75.97","0.300","0.00","62.72","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"5.40","78.11","0.300","0.00","34.73","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.170","8"
"6.40","77.37","0.300","0.00","46.15","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.305","8"
"7.40","78.06","0.282","17.00","28.63","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000","-1"
"8.40","77.22","0.286","14.96","44.81","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"9.50","76.33","0.283","12.81","46.59","60000.000894","0.000000000","5659.400084","0.000000","0","0","0.000000","0.102","17"
"10.60","79.37","0.297","7.23","4.05","60000.000894","0.000000000","5564.400083","2.800000","0","0","0.000000","0.000","-1"
"11.70","79.88","0.277","33.14","1.39","60000.000894","0.000000000","6389.200095","2.800000","0","0","0.000000","0.000","-1"
"12.80","79.94","0.272","26.20","0.91","60000.000894","0.000000000","7007.200104","4.000000","0","0","0.000000","0.000","-1"
"13.90","79.91","0.291","12.36","0.52","60000.000894","0.000000000","7532.600112","4.600000","0","0","0.000000","0.061","37"
"15.00","79.90","0.291","10.44","0.74","60000.000894","0.000000000","7497.800112","5.000000","0","0","0.000000","0.089","48"
"16.10","79.95","0.281","16.23","0.53","60000.000894","0.000000000","7740.600115","6.400000","0","0","0.000000","0.000","-1"
"17.20","79.25","0.295","4.53","3.17","60000.000894","0.000000000","7539.800112","7.000000","0","0","0.000000","0.000","-1"
"18.30","78.96","0.289","5.00","9.68","60000.000894","0.000000000","8277.800123","7.000000","0","0","0.000000","0.000","-1"
"19.40","79.67","0.295","4.29","5.71","60000.000894","0.000000000","8113.800121","7.200000","0","0","0.000000","0.000","-1"
"20.50","79.12","0.296","1.07","9.02","60000.000894","0.000000000","8379.800125","7.200000","0","0","0.000000","0.000","-1"
"21.60","79.69","0.295","1.20","9.43","60000.000894","0.000000000","7981.400119","7.200000","0","0","0.000000","0.000","-1"
"22.70","78.52","0.291","10.18","27.64","60000.000894","0.000000000","8044.000120","7.200000","0","0","0.000000","0.000","-1"
"23.80","77.50","0.288","6.33","78.86","60000.000894","0.000000000","8602.200128","7.200000","0","0","0.000000","0.560","23"
"24.90","79.72","0.279","22.20","1.97","60000.000894","0.000000000","9480.800141","7.200000","0","0","0.000000","0.000","-1"
"26.00","79.93","0.281","20.28","1.23","60000.000894","0.000000000","8685.000129","7.600000","0","0","0.000000","0.000","-1"
"27.10","78.56","0.281","17.57","45.69","60000.000894","0.000000000","8806.200131","7.600000","0","0","0.000000","0.000","-1"
"28.20","78.61","0.286","12.50","5.09","60000.000894","0.000000000","9295.200139","10.200000","0","0","0.000000","0.000","-1"
