"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","-0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.544","0","-0.0002","1.7053","1.7246","-0.0150"
"5.400","1","0.235","0","-0.0002","1.7053","1.7114","-0.0150"
"6.400","1","0.085","0","-0.0002","1.7053","1.7053","-0.0010"
"7.400","1","0.146","0","-0.0002","1.7053","1.7051","0.0070"
"8.400","1","0.489","0","-0.0196","1.7053","1.6963","0.0150"
"9.500","1","0.159","0","-0.0122","1.7053","1.7081","-0.0150"
"10.600","1","0.501","1","-0.0024","1.7053","1.6833","0.0400"
"11.700","1","0.453","0","0.0168","1.7039","1.6973","0.0150"
"12.800","1","0.028","1","0.0176","1.7038","1.7699","0.0400"
"13.900","1","0.006","0","0.0255","1.7031","1.7992","-0.0150"
"15.000","1","0.102","0","0.0488","1.7012","1.7320","-0.0150"
"16.100","1","0.069","0","0.0704","1.6994","1.7427","-0.0150"
"17.200","1","0.008","0","0.0527","1.7009","1.7740","-0.0150"
"18.300","1","0.038","0","0.0763","1.6989","1.7285","-0.0150"
"19.400","1","0.348","0","0.1006","1.6969","1.7139","-0.0150"
"20.500","1","0.131","0","0.1253","1.6948","1.7149","-0.0150"
"21.600","1","0.064","0","0.1502","1.6928","1.7308","-0.0150"
"22.700","1","0.063","1","0.1403","1.6936","1.7184","0.0400"
"23.800","1","0.195","0","0.1586","1.6920","1.6954","-0.0150"
"24.900","1","0.033","0","0.1356","1.6940","1.7159","-0.0150"
"26.000","1","0.379","0","0.1372","1.6938","1.6893","0.0150"
"27.100","1","0.138","0","0.1374","1.6938","1.7114","-0.0150"
"28.200","1","0.278","0","0.1373","1.6938","1.6754","0.0150"
"29.300","1","0.251","0","0.1359","1.6939","1.6887","0.0150"
"30.400","1","0.519","0","0.1354","1.6940","1.6767","0.0150"
"31.500","1","0.509","0","0.1362","1.6939","1.6823","0.0150"
"32.600","1","0.103","0","0.1350","1.6940","1.6938","0.0117"
"33.700","1","0.274","0","0.1352","1.6940","1.6914","0.0150"
"34.800","1","0.102","0","0.1331","1.6942","1.7099","-0.0150"
"35.900","1","0.093","0","0.1328","1.6942","1.7152","-0.0150"
"37.000","1","0.038","0","0.1333","1.6942","1.7185","-0.0150"
